###################################
[(10, u'ld')
(10, u'witho')
(10, u'u')
(10, u'io')
(10, u'w')
(10, u'y')
(10, u'sayi')
(10, u'lothing')
(10, u'cor')
(10, u'ean')
(10, u'ete')
(10, u'cl')
(10, u'rig')
(10, u'fas')
(10, u'ed')
(10, u'ave')
(10, u'ca')
(10, u'tan')
(10, u'toge')
(10, u'li')
(10, u'ta')
(10, u'ray')
(20, u'r')
(20, u'd')
(20, u'ti')
(20, u'ut')
(20, u'ore')
(20, u'gether')
(20, u'rayed')
(20, u'elf')
(20, u'ether')
(20, u'wen')
(20, u'se')
(30, u'til')
(30, u'c')
(30, u'g')
(30, u'h')
(30, u'll')
(40, u'gainsaying')
(40, u'l')
(50, u'e')
(50, u'gainsay')
(50, u'un')
(50, u'ain')
(50, u'mon')
(50, u'ur')
(60, u'fa')
(60, u'sa')
(60, u'tin')
(60, u'ne')
(70, u're')
(70, u'en')
(70, u'b')
(70, u'ma')
(70, u'pan')
(80, u'te')
(80, u'awful')
(90, u'il')
(90, u'gains')
(100, u'm')
(100, u'st')
(110, u'ewe')
(110, u'er')
(130, u'unlawful')
(130, u'hewed')
(160, u'wi')
(170, u'aye')
(170, u'hem')
(200, u'clothing')
(220, u'og')
(220, u'hin')
(220, u'hew')
(290, u'je')
(290, u'th')
(300, u'fasting')
(310, u'cloth')
(320, u'et')
(320, u'fore')
(330, u'thin')
(330, u'cornelius')
(330, u'sting')
(340, u'eli')
(370, u'wed')
(370, u'ai')
(370, u'hat')
(400, u'ninth')
(430, u'ago')
(490, u's')
(500, u'talked')
(510, u'le')
(550, u'lean')
(640, u'intent')
(640, u'aid')
(670, u'prayed')
(730, u'self')
(990, u'jew')
(1000, u'gain')
(1050, u'lawful')
(1110, u'bright')
(1160, u'lot')
(1250, u'la')
(1350, u'shewed')
(1370, u't')
(1380, u'corn')
(1550, u'clean')
(1720, u'em')
(1750, u'nation')
(1770, u'common')
(1960, u'tent')
(1990, u'unclean')
(2010, u'uncle')
(2020, u'ho')
(2210, u'fast')
(2230, u'soon')
(2280, u'shew')
(2300, u'talk')
(2300, u'ha')
(2400, u'lo')
(2500, u'peter')
(2780, u'ask')
(2880, u'wit')
(2930, u'company')
(3760, u'use')
(3970, u'v')
(4000, u'ere')
(4020, u'hour')
(4070, u'ten')
(4360, u'get')
(4450, u'until')
(4470, u'stood')
(4780, u'four')
(6360, u'found')
(6600, u'hold')
(7220, u'right')
(7230, u'law')
(7360, u'myself')
(7540, u'together')
(7610, u'ay')
(7820, u'call')
(8050, u'without')
(8500, u'stand')
(8670, u'keep')
(9010, u'another')
(9170, u'took')
(9540, u'sent')
(10570, u'thing')
(10690, u'days')
(10710, u'pray')
(11030, u'old')
(11480, u'many')
(11630, u'other')
(13580, u'too')
(14990, u'behold')
(15040, u'saying')
(15040, u'went')
(17500, u'any')
(18060, u'also')
(18880, u'therefore')
(23630, u'here')
(24370, u'should')
(24520, u'came')
(24750, u'day')
(24760, u'know')
(25500, u'house')
(26550, u'before')
(27880, u'say')
(28010, u'how')
(30890, u'am')
(31230, u'us')
(32450, u'go')
(35050, u'up')
(35800, u'an')
(36160, u'she')
(36800, u'or')
(37180, u'o')
(38720, u'one')
(41740, u'there')
(42020, u'out')
(42070, u'at')
(42840, u'now')
(42890, u'ye')
(42910, u'hath')
(43270, u'our')
(44050, u'said')
(44320, u'were')
(44730, u'man')
(45620, u'come')
(52290, u'god')
(52400, u'on')
(52650, u'we')
(53460, u'no')
(56300, u'what')
(63550, u'her')
(68820, u'was')
(70090, u'so')
(85070, u'them')
(94580, u'unto')
(95320, u'as')
(96800, u'this')
(97280, u'all')
(99900, u'have')
(105710, u'but')
(112490, u'thou')
(120690, u'him')
(121230, u'me')
(141410, u'it')
(141860, u'be')
(142630, u'with')
(154400, u'not')
(158220, u'his')
(165290, u'is')
(166030, u'you')
(169410, u'for')
(170870, u'he')
(173120, u'my')
(235040, u'a')
(243500, u'in')
(244070, u'that')
(302400, u'i')
(339290, u'to')
(531210, u'of')
(791820, u'and')
(937390, u'the')]
###################################
('Task3 Total time: ', 23.480737924575806)
