[(10, u'heartpoor')
(10, u'1sm246')
(10, u'syrophenician')
(10, u'2ki926')
(10, u"manenter'd")
(10, u'2sm1515')
(10, u'calfskins')
(10, u'foregoers')
(10, u'acceptest')
(10, u'nourishes')
(10, u'maintaini')
(10, u"salisbury's")
(10, u'1sm152')
(10, u'friendless')
(10, u'waymarks')
(10, u'2ki812')
(10, u'devonshire')
(10, u'1th220')
(10, u'1cor317')
(10, u'bandogs')
(10, u"warmark'd")
(10, u'enrobe')
(10, u"sought'st")
(10, u'curlish')
(10, u'1sm16')
(10, u'1sm2324')
(10, u'1chr101')
(10, u'mervailous')
(10, u'penitents')
(10, u'gederah')
(10, u'threading')
(10, u'beadsmen')
(10, u'azaniah')
(10, u'overkindness')
(10, u"long'dfor")
(10, u'asin')
(10, u'guilded')
(10, u'platforms')
(10, u"rivall'd")
(10, u'appeles')
(10, u'2ki1036')
(10, u'valuing')
(10, u'1tim614')
(10, u'2ki618')
(10, u'heatest')
(10, u'1sm52')
(10, u"wooer's")
(10, u'jouncing')
(10, u'pudency')
(10, u'devin')
(10, u'pontifical')
(10, u'peresh')
(10, u'1ki56')
(10, u'forsomuch')
(10, u'godfor')
(10, u'bizjothjah')
(10, u'inlaid')
(10, u'2ki148')
(10, u'woolward')
(10, u'initiate')
(10, u'1chr628')
(10, u'helmed')
(10, u'broaches')
(10, u'1sm295')
(10, u'melicu')
(10, u'quoifs')
(10, u"o'erparted")
(10, u'austereness')
(10, u'soberness')
(10, u'marchchick')
(10, u"guile'")
(10, u'omans')
(10, u'1chr1813')
(10, u"viper's")
(10, u'beliest')
(10, u'samgarnebo')
(10, u'peruda')
(10, u'silencewho')
(10, u'2ki1735')
(10, u'2ki162')
(10, u'1chr1116')
(10, u'korahite')
(10, u'inscriptions')
(10, u'waverer')
(10, u'bearbaitings')
(10, u'newapparelled')
(10, u'1tim19')
(10, u'2cor615')
(10, u'thirdborough')
(10, u"petition'd")
(10, u'panyn')
